Title,Authors,Category,Link,My Takeaway,Rating,Status,Topic / Keywords,Venue,Year
CodeDPO: Aligning Code Models with Self Generated and Curated Test Cases,Kexun Zhang; et al.,Method,https://aclanthology.org/2025.acl-long.771/,把可执行测试作为偏好信号进行DPO对齐，让代码模型更“通过测试”。,,To Read,preference optimization; test cases; alignment,ACL 2025 (Long),2025
M2RC-EVAL: Massively Multilingual Repository-level Code Completion Benchmark,Jin Liu; et al.,Benchmark,https://aclanthology.org/2025.acl-long.763/,18种语言的仓库级补全评测，细粒度拆分多种场景，附配套指令数据集。,,To Read,repository-level; multilingual; completion; evaluation,ACL 2025 (Long),2025
Automated Real-World Repo-Level Compilation with Tool Agents (AutoCompiler),Linyang Hu; et al.,System,https://aclanthology.org/2025.acl-long.103/,构建编译代理链路，自动完成真实仓库的依赖修复与编译通过。,,To Read,compilation; build & test; tool-augmented agents,ACL 2025 (Long),2025
Can LLMs Reason About Program Semantics? A Benchmark of Formal Reasoning on Code (FormalBench),Thanh Le-Cong; et al.,Benchmark,https://aclanthology.org/2025.acl-long.1068/,用形式化语义任务测试LLM的代码推理与自修复能力。,,To Read,program semantics; formal reasoning; self-repair prompts,ACL 2025 (Long),2025
LONGCODEU: Benchmarking Long-Context Language Models on Long Code Understanding,Jiawei Li; et al.,Benchmark,https://aclanthology.org/2025.acl-long.1324/,从真实仓库抽取长代码，评测函数识别、数据流/跨单元关系等理解能力。,,To Read,long-context; repository code; analysis; evaluation,ACL 2025 (Long),2025
Acing Coder RL via Automated Test-Case Synthesis,Hang Zeng; et al.,Method,https://aclanthology.org/2025.acl-long.587/,大规模自动合成测试样例，解决代码RL缺乏可靠奖励的问题。,,To Read,reinforcement learning; test synthesis; reward,ACL 2025 (Long),2025
Benchmarking LLMs and LLM-based Agents in Practical Vulnerability Detection for Code Repositories,Alperen Yildiz; Sin G Teo; Yiling Lou; Yebo Feng; Chong Wang; Dinil Mon Divakaran,Benchmark,https://aclanthology.org/2025.acl-long.1490/,在真实仓库中评测LLM/代理的漏洞检测与审计能力。 JITVul 构建了首个针对跨函数漏洞检测的系统性评测基准，揭示了 LLM 安全代码分析在精确度与上下文推理上的瓶颈。,,To Read,security; vulnerability detection; repo-level eval,ACL 2025 (Long),2025
ToolCoder: A Systematic Code-Empowered Tool Learning Framework,Hongxu Ding; et al.,System,https://aclanthology.org/2025.acl-long.874/,以代码为核心的工具学习框架，利用报错回溯机制进行系统化调试。,,To Read,tool learning; execution reliability; debugging via traceback,ACL 2025 (Long),2025
Can Language Models Replace Programmers for Coding? REPOCOD Says ‘Not Yet’,Shanchao Liang; Nan Jiang; Yiran Hu; Lin Tan,Benchmark,https://aclanthology.org/2025.acl-long.1204/,"构建了 RepoCod，一个面向真实项目级（repository-level）代码生成的复杂基准集，用于评估 LLM 在真实软件开发任务中的表现。
包含来自 11 个热门项目的 980 个整函数级任务，其中约 50% 需要跨文件依赖，且每个任务有 314 个开发者编写的测试样例。
实验表明，现有 10 个主流 LLM 在 RepoCod 上表现均不理想（pass@1 不超过 30%），揭示了 LLM 在真实依赖上下文中的局限性。
此外，加入 检索增强（retrieval-augmented） 信息能显著提升代码生成质量。",,To Read,repository-level; complex dependencies; evaluation,ACL 2025 (Long),2025
Tree-of-Evolution: Tree-Structured Instruction Evolution for Code Generation in LLMs,Ziyang Luo; Kaixin Li; Hongzhan Lin; Yuchen Tian; Mohan Kankanhalli; Jing Ma,Method,https://aclanthology.org/2025.acl-long.14/,"提出 Tree-of-Evolution (ToE) 框架，用树状结构建模代码指令合成过程（code instruction synthesis），以克服现有方法单向生成与随机性导致的质量与多样性限制。
ToE 通过多路径演化探索与优化驱动的进化策略，在每一步生成时基于前一步的质量进行改进。
在 HumanEval、MBPP、LiveCodeBench、BigCodeBench 等基准上，ToE 仅使用 7.5 万条合成数据即可达到或超越使用数百万样本微调模型（如 Qwen2.5-Coder-Instruct）的性能。",,To Read,code generation; instruction evolution; robustness,ACL 2025 (Long),2025
METAL:A Multi-Agent Framework for Chart Generation with Test-Time Verification,Bohan Li; et al.,System,https://aclanthology.org/2025.acl-long.1452/,提出 METAL 框架，一个基于视觉语言模型（VLM）的多智能体系统，用于自动化图表生成（chart generation）。该方法将复杂的视觉+代码生成任务拆解为多个专门智能体的协作过程，每个智能体负责不同的子任务（如布局、文本、颜色等）。相比直接让模型生成图表代码，METAL 在图表生成任务中提升了 5.2% 的 F1 分数，并在 LLaMA-3.2-11B 上较直接提示提升 11.33%。系统还展现出“测试时扩展性（test-time scaling）”现象，即随着推理计算预算增长，性能单调提升。,,To Read,code generation (charts); test-time verification,ACL 2025 (Long),2025
Vulnerability Detection with Code Language Models: How Far Are We?,Yangruibo Ding; Yanjun Fu; Omniyyah Ibrahim; Chawin Sitawarin; Xinyun Chen; Basel Alomair; David Wagner; Baishakhi Ray; Yizheng Chen,Benchmark,https://arxiv.org/abs/2403.18624,现有代码漏洞检测数据集质量低且存在数据泄露，使模型性能被严重高估；PrimeVul 通过更准确标注、严格去重与时间切分揭示出当前模型在真实场景中几乎失效，说明漏洞检测领域亟需更可靠基准与更强模型。,,Finished,"Vulnerability Detection（漏洞检测）
Dataset Quality（数据集质量）Temporal Split（时间切分）Deduplication（去重）
Benchmark（基准评测）",ICSE 2025,2025
icodeReviewer：Improving Secure Code Review with Mixture of Prompts,,,,,,,,,
Data Quality for Software Vulnerability Datasets,"Roland Croft, M. Ali Babar, M. Mehdi Kholoosi",System / Dataset,https://arxiv.org/abs/2301.05456,"核心发现：研究了四个SOTA漏洞数据集（Big-Vul, Devign, D2A, Juliet），发现它们普遍存在严重的质量问题。具体数据：真实世界数据集的标签错误率高达 20-71%，且存在 17-99% 的数据重复率。影响：这些数据质量问题（准确性、唯一性、一致性）会导致漏洞预测模型（SVP）的性能评估虚高或无法有效学习，强调了数据清洗的重要性。",,Reading,"Software Vulnerability, Data Quality, Machine Learning, Deep Learning",ICSE 2023,2023
